Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1745213532.690102,289960,0,1
2,Q2,1745213532.990592,5753,0,1
3,Q3,1745213533.058135,57902,0,1
4,Q4,1745213533.140525,23214,0,1
5,Q5,1745213533.195852,32416,0,1
6,Q6,1745213533.265521,35612,0,1
7,Q7,1745213533.376076,58572,0,1
8,Q8,1745213533.486703,45883,0,1
9,Q9,1745213533.643982,108861,0,1
10,Q10,1745213533.820991,66895,0,1
11,Q11,1745213533.902111,12396,0,1
12,Q12,1745213533.975407,58671,0,1
13,Q13,1745213534.123907,94580,0,1
14,Q14,1745213534.239456,19896,0,1
15,Q15,1745213534.317375,52544,0,1
16,Q16,1745213534.427531,53993,0,1
17,Q17,1745213534.574195,92051,0,1
18,Q18,1745213534.955691,285791,0,1
19,Q19,1745213535.247559,5178,0,1
20,Q20,1745213535.271981,16582,0,1
21,Q21,1745213535.363688,76389,0,1
22,Q22,1745213535.461992,19579,0,1
